,beta,HR (95% CI for HR),wald.test,p.value
C1QL1,-0.33,0.72 (0.64-0.82),25,6.10E-07
NAALADL2,0.95,2.6 (1.8-3.8),25,6.30E-07
PDLIM1,0.45,1.6 (1.3-1.9),25,6.40E-07
SLC1A4,-0.66,0.52 (0.4-0.67),25,6.80E-07
DIRAS3,0.43,1.5 (1.3-1.8),25,6.90E-07
KDELR2,1,2.8 (1.9-4.2),25,7.10E-07
P2RY6,0.51,1.7 (1.4-2),25,7.20E-07
OLIG1,-0.36,0.69 (0.6-0.8),25,7.40E-07
KIF2C,0.38,1.5 (1.3-1.7),24,7.60E-07
PLAU,0.36,1.4 (1.2-1.6),24,7.80E-07
HIST1H2BD,0.56,1.7 (1.4-2.2),24,7.80E-07
CBLN3,0.6,1.8 (1.4-2.3),24,7.90E-07
FAM176B,0.65,1.9 (1.5-2.5),24,8.00E-07
RIN1,0.48,1.6 (1.3-2),24,8.10E-07
TNFRSF10C,0.62,1.9 (1.5-2.4),24,8.20E-07
DENND5A,-1,0.36 (0.24-0.54),24,8.30E-07
PTTG1,0.43,1.5 (1.3-1.8),24,8.40E-07
C5orf34,0.66,1.9 (1.5-2.5),24,8.40E-07
MBOAT1,0.5,1.6 (1.3-2),24,8.60E-07
C19orf39,1.4,3.9 (2.3-6.7),24,8.90E-07
SNRPN,-0.85,0.43 (0.3-0.6),24,9.00E-07
HEY1,-0.77,0.46 (0.34-0.63),24,9.10E-07
IDI2,-1,0.35 (0.23-0.53),24,9.30E-07
HADHB,-1.4,0.25 (0.14-0.43),24,9.40E-07
POC1A,0.6,1.8 (1.4-2.3),24,9.50E-07
LOC441666,-0.3,0.74 (0.66-0.84),24,9.50E-07
GRIA2,-0.47,0.63 (0.52-0.76),24,9.50E-07
TNFRSF21,-0.66,0.52 (0.4-0.67),24,9.60E-07
SKA1,0.39,1.5 (1.3-1.7),24,9.70E-07
MARCKS,-0.91,0.4 (0.28-0.58),24,9.70E-07
FAM35B2,-1.3,0.29 (0.17-0.47),24,9.80E-07
UBE2R2,-1.9,0.16 (0.074-0.33),24,9.90E-07
TRIP13,0.61,1.8 (1.4-2.3),24,9.90E-07
TNFAIP8,0.49,1.6 (1.3-2),24,1.00E-06
SPIRE1,-1.1,0.33 (0.21-0.52),24,1.00E-06
MFSD7,0.61,1.8 (1.4-2.3),24,1.00E-06
SKI,1.4,4.1 (2.3-7.2),24,1.10E-06
RPN2,1.6,5.2 (2.7-10),24,1.10E-06
LRRC8A,-0.76,0.47 (0.34-0.64),24,1.10E-06
IQGAP3,0.41,1.5 (1.3-1.8),24,1.10E-06
HNRNPH2,-2.1,0.13 (0.054-0.29),24,1.10E-06
HMP19,-0.26,0.77 (0.69-0.86),24,1.10E-06
CD248,0.37,1.5 (1.3-1.7),24,1.10E-06
ADD3,-0.8,0.45 (0.33-0.62),24,1.10E-06
ZNF816A,1,2.8 (1.8-4.2),24,1.20E-06
RNF141,-1.1,0.34 (0.22-0.53),24,1.20E-06
CIITA,0.32,1.4 (1.2-1.6),24,1.20E-06
ARHGEF17,-0.82,0.44 (0.32-0.61),24,1.20E-06
ANXA2P1,0.48,1.6 (1.3-2),24,1.20E-06
ACCN2,-0.44,0.65 (0.54-0.77),24,1.20E-06
YY2,0.73,2.1 (1.5-2.8),23,1.30E-06
SHISA5,1.2,3.2 (2-5.2),23,1.30E-06
SEPN1,0.92,2.5 (1.7-3.6),23,1.30E-06
RAG1,0.9,2.5 (1.7-3.5),23,1.30E-06
MLLT6,-1.6,0.19 (0.1-0.38),24,1.30E-06
GPM6B,-1.1,0.33 (0.21-0.52),23,1.30E-06
C13orf18,0.55,1.7 (1.4-2.2),23,1.30E-06
ZNF701,1.2,3.3 (2-5.4),23,1.40E-06
X3.Sep,-0.5,0.61 (0.5-0.74),23,1.40E-06
IFITM3,0.56,1.8 (1.4-2.2),23,1.40E-06
C20orf26,0.36,1.4 (1.2-1.7),23,1.40E-06
HTRA3,0.33,1.4 (1.2-1.6),23,1.50E-06
CEP152,0.64,1.9 (1.5-2.5),23,1.50E-06
C9orf47,0.44,1.6 (1.3-1.9),23,1.50E-06
ACTR3,1.6,5.1 (2.6-9.8),23,1.50E-06
WBP2,-1.2,0.31 (0.19-0.5),23,1.60E-06
TTC3,-1.1,0.33 (0.21-0.52),23,1.60E-06
RCAN3,0.56,1.8 (1.4-2.2),23,1.60E-06
NDRG3,-1,0.36 (0.23-0.54),23,1.60E-06
GBP5,0.29,1.3 (1.2-1.5),23,1.60E-06
DIAPH3,0.64,1.9 (1.5-2.5),23,1.60E-06
TNC,0.46,1.6 (1.3-1.9),23,1.70E-06
FAM83D,0.42,1.5 (1.3-1.8),23,1.70E-06
B3GNT8,0.54,1.7 (1.4-2.1),23,1.70E-06
SOCS1,0.48,1.6 (1.3-2),23,1.80E-06
RAB6B,-0.75,0.47 (0.35-0.64),23,1.80E-06
PLAUR,0.42,1.5 (1.3-1.8),23,1.80E-06
DENND2D,0.45,1.6 (1.3-1.9),23,1.80E-06
C18orf32,-1.5,0.22 (0.12-0.41),23,1.80E-06
CALCRL,-0.33,0.72 (0.63-0.83),23,1.90E-06
HJURP,0.38,1.5 (1.2-1.7),23,2.00E-06
GANAB,1.6,5.2 (2.6-10),23,2.00E-06
C6orf118,0.28,1.3 (1.2-1.5),23,2.00E-06
GNAO1,-0.9,0.41 (0.28-0.59),23,2.10E-06
NCRNA00188,-0.92,0.4 (0.27-0.58),22,2.20E-06
IGFALS,-0.58,0.56 (0.44-0.71),22,2.20E-06
C10orf114,0.42,1.5 (1.3-1.8),22,2.20E-06
ATP6V0E2,-1,0.36 (0.24-0.55),22,2.20E-06
LOC157627,-0.34,0.71 (0.62-0.82),22,2.30E-06
CYB5RL,1.1,3.1 (1.9-5),22,2.30E-06
BUB1,0.38,1.5 (1.3-1.7),22,2.30E-06
ARSJ,0.46,1.6 (1.3-1.9),22,2.30E-06
ANXA7,-1.5,0.23 (0.12-0.42),22,2.30E-06
RPS12,-0.96,0.38 (0.26-0.57),22,2.40E-06
